# Simulated wavefront corrector ('deformable mirror') actuator coordinates, 
# Generated with (N.indices((7,7))/5.)[:,1:-1,1:-1].reshape(2,-1).T
# N.savetxt("tmp.csv", coords, fmt="%f", delimiter=", ")
# TvW 20110526
0.200000, 0.200000
0.200000, 0.400000
0.200000, 0.600000
0.200000, 0.800000
0.200000, 1.000000
0.400000, 0.200000
0.400000, 0.400000
0.400000, 0.600000
0.400000, 0.800000
0.400000, 1.000000
0.600000, 0.200000
0.600000, 0.400000
0.600000, 0.600000
0.600000, 0.800000
0.600000, 1.000000
0.800000, 0.200000
0.800000, 0.400000
0.800000, 0.600000
0.800000, 0.800000
0.800000, 1.000000
1.000000, 0.200000
1.000000, 0.400000
1.000000, 0.600000
1.000000, 0.800000
1.000000, 1.000000
